,,,,,,,,,,,
00022,Open,20,17,ALGORITHMS [B1],B1,-,Lab,Wednesday,11:00 AM,2:00 PM,3201
00023,Open,20,9,ALGORITHMS [B2],B2,-,Theory,Monday,8:00 AM,10:00 AM,3111
00023,Open,20,9,ALGORITHMS [B2],B2,-,Lab,Wednesday,2:00 PM,5:00 PM,3201
00024,Open,40,37,ALGORITHMS [C],C,-,Theory,Monday,2:00 PM,4:00 PM,3112
00024,Open,40,37,ALGORITHMS [C],C,-,Lab,Wednesday,2:00 PM,5:00 PM,3201
00025,Open,40,31,ALGORITHMS [D],D,-,Theory,Sunday,10:00 AM,12:00 PM,3111
00025,Open,40,31,ALGORITHMS [D],D,-,Lab,Tuesday,8:00 AM,11:00 AM,3201
00026,Open,20,17,ALGORITHMS [E1],E1,-,Theory,Sunday,8:00 AM,10:00 AM,3119
00026,Open,20,17,ALGORITHMS [E1],E1,-,Lab,Tuesday,8:00 AM,11:00 AM,3201
00027,Open,20,5,ALGORITHMS [E2],E2,-,Theory,Sunday,8:00 AM,10:00 AM,3119
00027,Open,20,5,ALGORITHMS [E2],E2,-,Lab,Tuesday,11:00 AM,2:00 PM,3202
00028,Open,40,40,ALGORITHMS [F],F,-,Theory,Sunday,12:00 PM,2:00 PM,3112
00028,Open,40,40,ALGORITHMS [F],F,-,Lab,Tuesday,11:00 AM,2:00 PM,3202
00029,Open,40,39,ALGORITHMS [G],G,-,Theory,Wednesday,8:00 AM,10:00 AM,3113
00029,Open,40,39,ALGORITHMS [G],G,-,Lab,Monday,8:00 AM,11:00 AM,3202
00030,Open,20,5,ALGORITHMS [H1],H1,-,Theory,Wednesday,10:00 AM,12:00 PM,3119
00030,Open,20,5,ALGORITHMS [H1],H1,-,Lab,Monday,8:00 AM,11:00 AM,3202
00031,Open,20,7,ALGORITHMS [H2],H2,-,Theory,Wednesday,10:00 AM,12:00 PM,3119
00031,Open,20,7,ALGORITHMS [H2],H2,-,Lab,Monday,2:00 PM,5:00 PM,3202
